num,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,0.00718,-1.31542,-0.12733,0.00356,-0.0035,0.21256,-0.016466,0.016742
0.0,2.29725,-0.99481,0.17802,-0.02378,0.06583,-0.0096,1.199276,-0.343328
0.0,-0.49664,-1.71237,-0.4174,-0.00767,0.0131,0.13151,0.099123,-0.057977
0.0,-0.66458,0.57771,-0.2342,-0.0233,0.01115,-0.04964,0.200548,-0.429372
0.0,0.66366,0.45557,-0.24947,-0.01158,0.04533,-0.00619,1.288914,-0.247863
0.0,1.97664,-0.5826,0.16275,0.01235,0.06144,-0.02816,1.106789,0.180717
0.0,2.03771,0.86779,0.49863,0.02407,-0.01131,-0.02474,-0.316738,0.724276
0.0,-0.80198,0.86779,0.10168,0.006,0.00968,-0.14779,0.06537,0.040496
0.0,2.26672,-2.5826,0.75817,0.04946,0.01261,0.23991,0.051443,0.203034
0.0,-0.80198,-1.97191,-0.09679,0.00356,0.06291,0.09733,0.573476,0.030706
0.0,-2.55771,0.95939,0.05588,0.06313,0.04044,-0.22347,0.172436,0.271135
0.0,-1.85542,1.34107,-0.40214,0.01625,-0.0704,-0.05306,-0.903207,0.182345
0.0,-2.84779,-0.46046,-0.90595,-0.0233,-0.09286,0.10563,-0.709376,-0.16415
0.0,-1.79435,-3.39176,-0.47847,0.006,0.02921,0.29118,0.099975,0.020504
0.0,-1.74855,1.67695,-0.69221,0.00893,-0.03182,-0.12386,-0.250846,0.069721
0.0,0.61786,0.19603,-0.84489,0.00258,-0.13387,-0.06185,-1.137666,0.017514
0.0,-2.55771,-4.18565,-0.26473,0.03334,-0.06161,0.49577,-0.123355,0.066647
0.0,-4.25237,3.82962,-1.3487,0.04653,0.01115,-0.22445,0.048594,0.204161
0.0,-1.59588,-4.30779,-0.61588,-0.06626,0.08292,0.53239,0.153354,-0.122369
0.0,-2.64931,2.3029,-0.86015,0.03481,-0.07674,-0.31332,-0.238796,0.107495
0.0,-0.63405,0.04336,-0.24947,-0.01744,-0.01131,-0.07894,-0.13904,-0.21526
0.0,-0.31344,2.01282,0.20855,-0.06041,0.11027,-0.31234,0.333659,-0.180383
0.0,-0.78672,1.29527,-0.11206,0.01479,0.04826,-0.11019,0.409509,0.122335
0.0,-1.87069,-0.10931,-0.1884,-0.0316,0.01994,0.02848,0.438269,-0.73768
0.0,-0.61878,-1.42229,-0.4174,-0.04722,-0.04159,0.16813,-0.233781,-0.266178
0.0,-1.87069,3.1884,-0.52427,0.09145,-0.10555,-0.42123,-0.240152,0.207561
0.0,-0.25237,-1.16275,-0.12733,-0.01451,0.08537,0.05192,1.007547,-0.144184
0.0,-0.2829,-0.18565,0.07115,-0.04576,0.0214,0.13102,0.153005,-0.331915
0.0,-0.51191,1.47847,-0.46321,-0.01304,0.05558,-0.0638,0.70651,-0.152925
0.0,-1.91649,-0.79634,-1.07389,-0.01695,-0.02108,-0.0472,-0.397882,-0.316808
0.0,-3.32107,-0.68947,-1.57771,0.02016,-0.02499,0.08268,-0.285564,0.229313
0.0,-2.63405,2.48611,0.10168,0.02749,-0.03475,-0.0975,-0.330484,0.25956
0.0,-0.60351,-3.42229,0.10168,-0.03013,0.05705,0.27165,0.205767,-0.108132
0.0,0.55679,-0.38412,0.45282,-0.02964,0.03849,0.00846,0.895506,-0.644892
0.0,-3.50427,-0.06351,-0.93649,-0.0023,0.05607,0.02604,1.134525,-0.037183
0.0,-5.2142,-0.24672,-0.86015,0.03334,0.01945,0.07536,0.231769,0.404793
0.0,-3.93176,1.21893,-0.89069,0.00063,-0.02645,-0.04378,-0.543386,0.012313
0.0,-2.34397,1.17313,-0.3258,0.027,0.03751,-0.07796,0.426748,0.302459
0.0,-2.71038,-1.23908,-0.44794,-0.0023,-0.00204,0.08122,-0.025055,-0.028301
0.0,-2.61878,-0.56733,-0.43267,-0.01939,0.0048,0.08024,0.05808,-0.236695
0.0,-1.18366,-0.46046,-0.26473,0.01674,0.0546,0.02409,1.077819,0.273513
0.0,-0.16076,0.10443,0.08641,-0.00376,0.02335,-0.01742,0.919035,-0.128506
0.0,-0.11496,0.24183,0.19328,0.00112,0.0258,0.00797,1.268249,0.04139
