num,time,gX,gY,gZ,aX,aY,aZ,pitch,roll
0.0,180376537.0,-0.012479104151759455,-0.005794493116621174,-0.0024260076602721182,0.01,-0.01,-0.094,-0.10539407685588109,0.10539407685588109
0.0,180474057.0,-0.04738568919164605,0.007260569688296411,-0.003490658503988659,-0.085,0.042,-0.102,0.30636704228933953,-0.6565333715943278
0.0,180571552.0,-0.04206243497306335,0.030438542154781107,-0.007766715171374766,0.023,0.022,-0.34,0.06446887278125914,0.06740362489134474
0.0,180669071.0,-0.05112069379091391,0.02457423586808016,-0.005096361415823442,0.037,0.011,-0.102,0.1010340682874917,0.3461343659968936
0.0,180766569.0,-0.0633729051399141,-0.05935864786032714,-0.0042935099599060505,0.009,-0.006,-0.105,-0.056872696479307705,0.08536671027808973
0.0,180864072.0,-0.03565707661824415,-0.03590142271352336,0.0010297442586766543,-0.006,0.018,0.2,0.08971802655657618,-0.02987034617842443
0.0,180961581.0,-0.04551818689201212,-0.08386307055832753,-0.0019024088846738192,-0.038,-0.058,0.174,-0.3148266870845305,-0.20429333342496622
0.0,181059071.0,-0.051644292566512214,-0.00047123889803846896,-0.0010995574287564276,0.034,0.046,-0.035,0.7559169970396975,0.5317136027052636
0.0,181156589.0,-0.03806563098599633,-0.003403392041388943,-0.014154620233674014,-0.08,-0.034,0.14,-0.2078148167718435,-0.5068938990351979
0.0,181254080.0,-0.04045673206122856,0.037105699897399445,-0.0037699111843077517,0.043,0.045,-0.108,0.3693468924639874,0.3521979949658134
0.0,181351601.0,0.03415609346152903,-0.027122416575991883,-0.004031710572106902,-0.016,-0.064,0.017,-1.221025066806322,-0.2370773976908183
0.0,181449095.0,0.07305948248848264,0.04190535534038385,-0.011222467090323538,-0.051,-0.155,-0.428,-0.3452063341812692,-0.1115728459153831
0.0,181546605.0,0.060266219071364195,0.011780972450961725,0.0010297442586766543,0.029,-0.054,0.291,-0.18259559843105433,0.09767181855214663
0.0,181644101.0,0.03628539514896211,-0.12650146418454902,0.008499753457212385,-0.004,0.092,0.503,0.1808974050856689,-0.007822358363034194
0.0,181741604.0,0.032026791774095946,0.01658062789394613,0.012217304763960306,0.003,0.0,0.09,0.0,0.033320995878247196
